location,bhk,area_sqft,bathrooms,furnishing,parking,rent
Powai,3,1009,2.0,Unfurnished,0,75362
Powai,2,704,1.0,Semi-Furnished,1,61417
Andheri,4,1597,4.0,Fully-Furnished,0,119856
Powai,2,670,3.0,Semi-Furnished,1,56788
Dadar,1,317,2.0,Unfurnished,1,32022
Bandra,2,703,2.0,Unfurnished,0,67167
Powai,1,343,1.0,Unfurnished,1,25555
Goregaon,2,643,2.0,Semi-Furnished,0,41934
Dadar,2,641,3.0,Unfurnished,1,56669
Malad,2,590,2.0,Semi-Furnished,1,36158
Borivali,3,1003,3.0,Fully-Furnished,1,51918
Borivali,1,300,1.0,Fully-Furnished,1,20892
Thane,3,1048,3.0,Unfurnished,1,53505
Thane,3,1047,4.0,Fully-Furnished,0,58516
Bandra,2,590,2.0,Unfurnished,1,53311
Andheri,4,1346,3.0,Fully-Furnished,0,110774
Andheri,3,1222,3.0,Unfurnished,1,73457
Andheri,2,702,2.0,Unfurnished,1,43204
Borivali,3,1020,4.0,Unfurnished,0,52510
Dadar,3,942,3.0,Fully-Furnished,1,98754
Powai,1,444,2.0,Semi-Furnished,0,40762
Andheri,2,748,2.0,Semi-Furnished,0,55764
Dadar,2,751,2.0,Semi-Furnished,1,80657
Kandivali,3,1166,3.0,Semi-Furnished,1,75394
Bandra,1,394,1.0,Unfurnished,1,39371
Kandivali,2,682,2.0,Unfurnished,1,36290
Kandivali,3,1036,2.0,Unfurnished,1,54643
Chembur,2,789,1.0,Fully-Furnished,0,50974
Bandra,1,301,1.0,Unfurnished,1,32194
Chembur,2,818,1.0,Semi-Furnished,0,47597
Powai,1,363,1.0,Fully-Furnished,0,32925
Kandivali,2,747,2.0,Fully-Furnished,0,49606
Kandivali,3,1137,3.0,Semi-Furnished,0,59715
Goregaon,2,831,2.0,Fully-Furnished,0,66357
Andheri,1,416,2.0,Unfurnished,0,28381
Borivali,2,614,2.0,Semi-Furnished,1,35897
Chembur,1,381,1.0,Semi-Furnished,0,22376
Malad,1,316,1.0,Semi-Furnished,1,18738
Powai,1,473,,Unfurnished,1,44602
Bandra,2,620,3.0,Unfurnished,1,66036
Malad,1,356,1.0,Unfurnished,0,20213
Borivali,1,303,2.0,Semi-Furnished,1,20010
Malad,2,848,3.0,Unfurnished,1,43143
Borivali,2,599,1.0,Fully-Furnished,0,36573
Andheri,2,834,2.0,Unfurnished,1,55589
Kandivali,3,1003,4.0,Unfurnished,1,50111
Kandivali,4,1472,4.0,Semi-Furnished,1,92990
Andheri,3,1012,2.0,Fully-Furnished,1,77325
Dadar,1,420,1.0,Unfurnished,1,36252
Kandivali,3,992,4.0,Unfurnished,0,50862
Kandivali,2,594,2.0,Unfurnished,1,30595
Bandra,3,964,4.0,Fully-Furnished,0,121213
Chembur,2,763,2.0,Unfurnished,0,39361
Powai,4,1270,3.0,Unfurnished,1,107504
Kandivali,1,387,2.0,Unfurnished,1,26114
Kandivali,2,719,2.0,Unfurnished,1,42501
Andheri,2,732,1.0,Semi-Furnished,1,47460
Powai,3,993,4.0,Unfurnished,1,80925
Powai,1,300,1.0,Fully-Furnished,1,32703
Dadar,3,934,2.0,Semi-Furnished,0,90282
Goregaon,2,729,2.0,Unfurnished,1,46659
Chembur,2,801,2.0,Semi-Furnished,1,50174
Bandra,1,300,2.0,Semi-Furnished,0,33610
Goregaon,2,795,2.0,Unfurnished,1,46856
Bandra,1,428,1.0,Semi-Furnished,1,49831
Bandra,1,553,1.0,Unfurnished,1,54964
Thane,2,641,3.0,Unfurnished,1,34626
Borivali,4,1421,3.0,Semi-Furnished,0,75106
Malad,4,1331,3.0,Semi-Furnished,1,79556
Goregaon,3,1008,3.0,Unfurnished,1,52789
Dadar,4,1422,3.0,Semi-Furnished,1,133771
Goregaon,2,803,3.0,Semi-Furnished,0,49589
Chembur,1,302,1.0,Unfurnished,1,21851
Kandivali,2,855,1.0,Fully-Furnished,1,47558
Powai,1,310,1.0,Semi-Furnished,0,27361
Borivali,1,419,1.0,Unfurnished,0,19566
Powai,3,1166,4.0,Fully-Furnished,1,111305
Powai,1,372,1.0,Semi-Furnished,1,35424
Bandra,2,788,3.0,Unfurnished,1,78750
Dadar,1,317,1.0,Unfurnished,1,29719
Powai,4,1443,5.0,Unfurnished,1,121601
Goregaon,2,657,2.0,Semi-Furnished,0,42601
Thane,2,682,3.0,Semi-Furnished,0,36147
Thane,2,784,3.0,Unfurnished,1,37449
Bandra,3,1122,3.0,Semi-Furnished,1,124437
Andheri,2,569,2.0,Fully-Furnished,1,45424
Thane,2,694,1.0,Unfurnished,1,29717
Dadar,3,960,3.0,Fully-Furnished,1,106974
Chembur,4,1514,4.0,Unfurnished,1,86033
Dadar,2,873,2.0,Unfurnished,1,75893
Goregaon,2,650,1.0,Unfurnished,0,35172
Malad,1,315,1.0,Semi-Furnished,1,19388
Powai,1,300,2.0,Semi-Furnished,1,31090
Andheri,1,325,1.0,Semi-Furnished,0,21334
Kandivali,2,687,1.0,Unfurnished,1,37406
Thane,2,786,1.0,Semi-Furnished,0,38770
Andheri,2,746,1.0,Semi-Furnished,1,52707
Andheri,3,1061,3.0,Unfurnished,1,64934
Andheri,2,628,3.0,Semi-Furnished,1,46171
Kandivali,2,657,1.0,Semi-Furnished,1,41869
Kandivali,2,675,2.0,Unfurnished,1,35884
Malad,3,1075,3.0,Semi-Furnished,1,72153
Kandivali,4,1354,3.0,Semi-Furnished,1,80568
Thane,3,1197,3.0,Semi-Furnished,1,59831
Bandra,2,875,1.0,Semi-Furnished,0,82851
Kandivali,2,693,3.0,Unfurnished,0,36097
Thane,2,687,2.0,Semi-Furnished,1,38916
Andheri,1,358,2.0,Unfurnished,1,27842
Andheri,1,300,1.0,Unfurnished,0,19129
Kandivali,2,632,1.0,Unfurnished,1,32273
Thane,4,1455,5.0,Fully-Furnished,1,85939
Dadar,1,348,1.0,Semi-Furnished,1,36672
Borivali,2,614,2.0,Unfurnished,1,30783
Thane,4,1241,5.0,Semi-Furnished,1,72714
Bandra,2,723,1.0,Fully-Furnished,1,94380
Borivali,2,697,3.0,Fully-Furnished,0,42223
Thane,2,652,2.0,Unfurnished,1,28222
Thane,3,1099,4.0,Fully-Furnished,1,65528
Kandivali,4,1490,4.0,Unfurnished,1,77280
Andheri,2,866,3.0,Semi-Furnished,1,56835
Powai,3,874,3.0,Fully-Furnished,1,77284
Powai,1,443,2.0,Unfurnished,0,34508
Powai,2,886,2.0,Semi-Furnished,1,77491
Malad,3,1126,3.0,Semi-Furnished,1,71357
Bandra,2,716,2.0,Unfurnished,1,80070
Chembur,4,1390,3.0,Semi-Furnished,0,84185
Chembur,4,1437,3.0,Fully-Furnished,1,105953
Chembur,2,623,3.0,Semi-Furnished,0,44212
Powai,2,787,3.0,Unfurnished,1,71960
Malad,2,700,2.0,Unfurnished,1,36297
Bandra,1,300,2.0,Fully-Furnished,1,38394
Borivali,4,1466,3.0,Semi-Furnished,1,78382
Andheri,2,704,1.0,Semi-Furnished,1,49815
Andheri,3,1039,4.0,Semi-Furnished,0,78571
Bandra,1,417,2.0,Unfurnished,1,45234
Dadar,1,300,1.0,Unfurnished,1,30275
Chembur,2,649,3.0,Semi-Furnished,1,44892
Chembur,3,981,3.0,Fully-Furnished,0,75821
Goregaon,3,1132,3.0,Fully-Furnished,1,75377
Malad,2,694,1.0,Fully-Furnished,1,51782
Borivali,1,391,1.0,Unfurnished,0,17840
Andheri,3,1229,2.0,Unfurnished,1,73423
Borivali,2,584,2.0,Semi-Furnished,1,28930
Goregaon,1,313,1.0,Semi-Furnished,1,23495
Goregaon,3,1133,2.0,Fully-Furnished,1,77199
Bandra,2,711,2.0,Unfurnished,1,69300
Powai,3,1091,2.0,Unfurnished,1,87852
Thane,4,1440,4.0,Semi-Furnished,1,80866
Malad,2,693,2.0,Fully-Furnished,0,44964
Kandivali,3,1134,3.0,Unfurnished,0,54489
Malad,1,403,1.0,Unfurnished,1,23572
Thane,2,632,1.0,Unfurnished,0,30253
Thane,2,753,3.0,Unfurnished,0,38355
Chembur,1,300,2.0,Semi-Furnished,0,19639
Kandivali,2,870,2.0,Fully-Furnished,0,55635
Goregaon,1,411,1.0,Semi-Furnished,1,29290
Powai,1,389,1.0,Unfurnished,1,34262
Andheri,2,681,3.0,Semi-Furnished,0,50031
Bandra,3,1049,2.0,Semi-Furnished,0,117785
Bandra,2,644,2.0,Semi-Furnished,0,76043
Malad,4,1422,4.0,Semi-Furnished,0,90634
Malad,2,735,3.0,Semi-Furnished,0,44675
Dadar,4,1403,4.0,Semi-Furnished,1,140907
Borivali,1,363,2.0,Fully-Furnished,1,25588
Bandra,3,1092,3.0,Fully-Furnished,0,132162
Chembur,3,965,3.0,Semi-Furnished,0,58309
Chembur,3,1074,2.0,Unfurnished,1,66255
Kandivali,3,1054,4.0,Unfurnished,1,52061
Goregaon,2,979,2.0,Unfurnished,1,48461
Thane,1,343,1.0,Unfurnished,1,17362
Dadar,2,552,1.0,Unfurnished,0,53031
Dadar,1,300,1.0,Unfurnished,1,28564
Malad,3,926,3.0,Semi-Furnished,0,61691
Powai,2,762,2.0,Fully-Furnished,1,73744
Dadar,3,1059,2.0,Semi-Furnished,0,107829
Powai,2,707,2.0,Unfurnished,1,55238
Thane,2,647,3.0,Unfurnished,1,37300
Borivali,1,379,1.0,Unfurnished,1,20161
Goregaon,2,686,1.0,Fully-Furnished,0,43882
Malad,1,429,1.0,Semi-Furnished,1,25824
Malad,3,963,2.0,Semi-Furnished,0,61457
Thane,3,1012,3.0,Unfurnished,1,51596
Dadar,4,1352,3.0,Unfurnished,1,130474
Borivali,2,633,2.0,Semi-Furnished,0,36048
Kandivali,2,738,2.0,Semi-Furnished,1,42924
Malad,3,982,2.0,Fully-Furnished,1,66998
Chembur,1,316,1.0,Fully-Furnished,0,24222
Malad,2,784,2.0,Semi-Furnished,1,49566
Andheri,2,736,3.0,Fully-Furnished,0,56131
Dadar,1,388,1.0,Semi-Furnished,0,40519
Powai,3,1233,2.0,Semi-Furnished,1,118789
Malad,1,364,1.0,Unfurnished,0,19183
Chembur,3,987,3.0,Semi-Furnished,1,64784
Borivali,4,1405,4.0,Unfurnished,0,65919
Andheri,4,1480,3.0,Unfurnished,1,90707
Bandra,2,610,2.0,Unfurnished,1,67254
Andheri,2,789,2.0,Fully-Furnished,1,68887
Chembur,4,1433,3.0,Fully-Furnished,0,99032
Kandivali,1,471,1.0,Semi-Furnished,0,24606
Andheri,2,633,1.0,Semi-Furnished,1,42428
Chembur,3,1057,3.0,Unfurnished,1,64078
Dadar,2,715,3.0,Unfurnished,1,61962
Thane,1,445,2.0,Semi-Furnished,1,27776
Bandra,3,1094,3.0,Fully-Furnished,1,138759
Goregaon,1,300,1.0,Unfurnished,1,20938
Andheri,1,410,2.0,Semi-Furnished,1,34448
Andheri,2,633,3.0,Semi-Furnished,1,51387
Dadar,2,839,1.0,Semi-Furnished,1,88475
Chembur,3,972,3.0,Semi-Furnished,1,55529
Bandra,2,761,2.0,Fully-Furnished,1,92459
Chembur,1,463,2.0,Fully-Furnished,0,35236
Kandivali,2,747,2.0,Unfurnished,1,38233
Malad,3,1129,3.0,Semi-Furnished,1,65299
Dadar,2,730,2.0,Fully-Furnished,0,77075
Kandivali,1,352,1.0,Semi-Furnished,0,17179
Andheri,3,1189,2.0,Fully-Furnished,0,83311
Thane,3,1114,3.0,Unfurnished,0,54051
Dadar,4,1549,3.0,Unfurnished,1,115736
Dadar,3,1010,3.0,Fully-Furnished,0,115345
Kandivali,2,627,1.0,Unfurnished,1,31310
Powai,3,1074,2.0,Semi-Furnished,1,78282
Borivali,2,682,1.0,Unfurnished,1,34054
Dadar,1,358,1.0,Semi-Furnished,0,38799
Kandivali,3,1075,3.0,Unfurnished,1,53295
Borivali,1,300,1.0,Semi-Furnished,1,17876
Goregaon,2,807,2.0,Semi-Furnished,1,42164
Bandra,2,878,1.0,Semi-Furnished,0,100918
Andheri,2,691,3.0,Semi-Furnished,0,51553
Thane,3,1137,3.0,Semi-Furnished,0,61366
Andheri,3,977,2.0,Semi-Furnished,1,76341
Goregaon,3,1134,2.0,Fully-Furnished,1,82135
Powai,1,371,1.0,Unfurnished,1,26612
Powai,1,490,1.0,Fully-Furnished,0,42916
Chembur,3,1117,4.0,Fully-Furnished,1,69514
Andheri,1,446,1.0,Unfurnished,1,28030
Kandivali,2,649,3.0,Semi-Furnished,1,37111
Dadar,2,771,2.0,Fully-Furnished,1,93620
Bandra,3,1033,4.0,Unfurnished,0,101923
Goregaon,2,814,3.0,Fully-Furnished,1,49462
Kandivali,3,985,4.0,Unfurnished,1,60070
Kandivali,4,1443,5.0,Fully-Furnished,1,104333
Thane,2,692,1.0,Semi-Furnished,1,33391
Chembur,2,639,2.0,Fully-Furnished,1,45591
Andheri,2,686,2.0,Semi-Furnished,1,45527
Malad,2,805,1.0,Unfurnished,0,41747
Thane,3,1087,3.0,Unfurnished,1,47909
Dadar,2,759,1.0,Semi-Furnished,0,75592
Malad,1,323,1.0,Semi-Furnished,1,21494
Malad,2,705,2.0,Fully-Furnished,1,42838
Malad,1,409,1.0,Unfurnished,0,21768
Dadar,4,1595,5.0,Semi-Furnished,0,141697
Dadar,3,1026,3.0,Unfurnished,1,98627
Powai,1,300,1.0,Fully-Furnished,1,33825
Powai,4,1259,4.0,Semi-Furnished,1,98867
Powai,2,634,3.0,Semi-Furnished,1,64449
Bandra,2,582,2.0,Semi-Furnished,1,66314
Malad,3,1105,3.0,Fully-Furnished,1,81327
Borivali,3,1008,3.0,Semi-Furnished,1,57527
Kandivali,2,760,1.0,Unfurnished,1,40573
Malad,2,750,2.0,Unfurnished,1,40559
Borivali,1,300,2.0,Fully-Furnished,1,18952
Chembur,4,1417,,Unfurnished,1,86868
Kandivali,3,1065,4.0,Unfurnished,1,54473
Andheri,2,609,1.0,Fully-Furnished,1,50482
Thane,3,1001,2.0,Semi-Furnished,1,50490
Chembur,4,1364,5.0,Unfurnished,1,83583
Andheri,3,1024,3.0,Unfurnished,0,66752
Kandivali,1,300,1.0,Unfurnished,1,17413
Dadar,4,1263,5.0,Unfurnished,1,110829
Chembur,1,300,1.0,Unfurnished,1,17730
Kandivali,3,1016,3.0,Fully-Furnished,0,60522
Malad,2,745,3.0,Unfurnished,1,36771
Kandivali,2,727,3.0,Unfurnished,1,37642
Andheri,2,773,2.0,Unfurnished,1,47610
Malad,3,1196,4.0,Semi-Furnished,0,73226
Borivali,3,955,3.0,Semi-Furnished,1,52520
Malad,3,1126,3.0,Unfurnished,1,58626
Goregaon,2,703,1.0,Semi-Furnished,1,47368
Malad,1,300,2.0,Unfurnished,0,18558
Chembur,1,300,1.0,Semi-Furnished,1,20233
Malad,4,1311,4.0,Unfurnished,1,72091
Andheri,3,901,4.0,Semi-Furnished,0,68273
Thane,3,982,2.0,Semi-Furnished,1,48766
Andheri,2,649,1.0,Semi-Furnished,0,44873
Chembur,2,625,2.0,Fully-Furnished,1,44803
Thane,2,651,2.0,Fully-Furnished,1,41623
